,precision,recall,f1-score,support
Anthracnose,1.0,0.85,0.918918918918919,20.0
algal leaf,0.8888888888888888,0.7619047619047619,0.8205128205128205,21.0
bird eye spot,1.0,1.0,1.0,14.0
brown blight,0.75,0.8571428571428571,0.8,21.0
gray light,0.85,1.0,0.918918918918919,17.0
healthy,1.0,0.9545454545454546,0.9767441860465116,22.0
red leaf spot,0.9666666666666667,1.0,0.9830508474576272,29.0
white spot,0.9090909090909091,0.9090909090909091,0.9090909090909091,33.0
accuracy,0.9152542372881356,0.9152542372881356,0.9152542372881356,0.9152542372881356
macro avg,0.920580808080808,0.9165854978354979,0.9159045751182133,177.0
weighted avg,0.9203389830508474,0.9152542372881356,0.9154102593223936,177.0
