,precision,recall,f1-score,support
Aphid,0.95,0.95,0.95,20.0
Black_Rust,1.0,0.8,0.8888888888888888,20.0
Blast,1.0,1.0,1.0,20.0
Brown_Rust,0.95,0.95,0.95,20.0
Common_Root_Rot,1.0,1.0,1.0,20.0
Fusarium_Head_Blight,1.0,0.95,0.9743589743589743,20.0
Healthy,0.6666666666666666,0.1,0.17391304347826086,20.0
Leaf_Blight,0.76,0.95,0.8444444444444444,20.0
Mildew,0.9523809523809523,1.0,0.975609756097561,20.0
Mite,1.0,0.85,0.918918918918919,20.0
Septoria,0.95,0.95,0.95,20.0
Smut,1.0,1.0,1.0,20.0
Stem_fly,1.0,1.0,1.0,20.0
Tan_spot,0.8571428571428571,0.9,0.8780487804878049,20.0
Yellow_Rust,0.5263157894736842,1.0,0.6896551724137931,20.0
accuracy,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333
macro avg,0.907500417710944,0.8933333333333333,0.8795891986059098,300.0
weighted avg,0.907500417710944,0.8933333333333333,0.8795891986059098,300.0
